tweet,sarcastic,rephrase,sarcasm,irony,satire,understatement,overstatement,rhetorical_question,has_emoji
I always think going braless is a good idea until I'm in public and am insecure because I'm not wearing a bra,0,,,,,,,,False
life is so much better with a heating blanket,0,,,,,,,,False
Sometimes I just go through my phone and look at pictures of my dog,0,,,,,,,,False
"was not back in the states for even 5 minutes before someone ran into me at the airport with their suitcase and said “ope, sorry!” 

I’m home :-)",0,,,,,,,,False
in desperate need of (and I can NOT stress this enough) spring break,0,,,,,,,,False
I've said it before and I'll say it again but YOUR MENTAL HEALTH IS SO MUCH MORE IMPORTANT THAN A GOOD GRADE,0,,,,,,,,False
I couldn’t have imagined how much fun I would have with people I’ve met through streaming. I’m so thankful to live in this timeline even if it is relatively garbage.,0,,,,,,,,False
woke up to my dog sneezing on my face. How’s your day going so far?,0,,,,,,,,False
Does the salad offset the beer(s)?,0,,,,,,,,False
Why do I have a doctorate and miss the restaurant industry SO MUCH,0,,,,,,,,False
“The more you toot the more you poop” -my 6 yo nephew,0,,,,,,,,False
Perk of doing a newborn hearing screening on an SLP’s baby: not having to discuss speech and language milestones,0,,,,,,,,False
"@marcorubio @SecDef What’s more embarrassing is how terrible Florida is doing with containing COVID-19. An utter disgrace.  Wearing a mask to protect yourself and others is not embarrassing, it’s leadership.",0,,,,,,,,False
"@GodisaGeek Publisher, not developer.",0,,,,,,,,False
@GeekDadGamer My neice (4 or 5 at the time) *loved* playing Mario Kart 8 with her dad using the acceleration and steering assists. Before that she was mostly a spectator while he played kid-friendly games like Ape Escape.,0,,,,,,,,False
"@geekcubed Rant completely warranted! 
Market Research is my thing, and I lose count of how many times UX appears to be a distant concern compared to “but we must gather ALL OF THE DATA”",0,,,,,,,,False
So excited just seen #chitty bang bang car on the road in @huddersfield,0,,,,,,,,False
"My boys Sam &amp; Ben Haigh (8, 4) are huge fans of yours and would like to wish you a happy birthday all the way from England, ps cant wait to try the colour challenge with the boys during lockdown great ideas to keep them busy ! x @Preston",0,,,,,,,,False
"@sainsburys perhaps you could make your shop mobile and take essential items to hospitals, and other key places,  so it makes it easier for staff to get items they need",0,,,,,,,,False
ive been watching british streamers for too long. i caught myself saying aircon instead of AC,0,,,,,,,,False
"i know starting up school again can be very stressful but pls remember to stay hydrated, don’t overwhelm yourself, and reach out for help if you need it (my dms are open!) :)",0,,,,,,,,False
